LSOA21CD,LSOA21NM,GlobalID,EVCI2024,EVCI2023,EVCI2022,EVCI2021,EVCI2020,EVCI2019,EVCI2018,EVCI2017,EVCI2015,EVCI2013,EVCI2012,Fuel,Keepership,y2024Q2,y2024Q1,y2023Q4,y2023Q3,y2023Q2,y2023Q1,y2022Q4,y2022Q3,y2022Q2,y2022Q1,y2021Q4,y2021Q3,y2021Q2,y2021Q1,y2020Q4,y2020Q3,y2020Q2,y2020Q1,y2019Q4,y2019Q3,y2019Q2,y2019Q1,y2018Q4,y2018Q3,y2018Q2,y2018Q1,y2017Q4,y2017Q3,y2017Q2,y2017Q1,y2016Q4,y2016Q3,y2016Q2,y2016Q1,y2015Q4,y2015Q3,y2015Q2,y2015Q1,y2014Q4,y2014Q3,y2014Q2,y2014Q1,y2013Q4,y2013Q3,y2013Q2,y2013Q1,y2012Q4,y2012Q3,y2012Q2,y2012Q1,y2011Q4
E01003393,Merton 008C,fa2eaefe-4cfd-4c39-97b0-8d84bd0ee5bd,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,18.0,16.0,14.0,14.0,9.0,8.0,8.0,8.0,6.0,7.0,8.0,9.0,9.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003394,Merton 007A,25ee34a3-cd86-4fbe-b84e-4a1fc84578a8,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,17.0,18.0,15.0,12.0,11.0,9.0,9.0,11.0,12.0,6.0,5.0,5.0,6.0,7.0,7.0,8.0,8.0,8.0,5.0,2.5,5.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003395,Merton 007B,08bd0ebe-1d4a-40dc-b088-9ee37fd578c8,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,37.0,33.0,31.0,30.0,29.0,28.0,25.0,21.0,17.0,12.0,12.0,11.0,13.0,14.0,14.0,14.0,12.0,12.0,12.0,12.0,12.0,7.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003396,Merton 007C,a64dcf6c-3ce9-4591-8a08-38f417769632,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,20.0,19.0,20.0,18.0,14.0,14.0,11.0,9.0,10.0,10.0,9.0,7.0,6.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003397,Merton 007D,74e2b032-9858-4f0e-82c6-e2e18f33c263,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,13.0,12.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,7.0,6.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003398,Merton 007E,9020c21d-df4c-4750-8de7-4c0ffc88989a,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,27.0,25.0,23.0,22.0,18.0,16.0,16.0,14.0,15.0,15.0,14.0,12.0,7.0,5.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003399,Merton 011D,ae72fd37-c16e-4041-9718-e7a9f76e035e,15.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,24.0,23.0,22.0,19.0,17.0,15.0,15.0,14.0,12.0,11.0,8.0,9.0,8.0,8.0,6.0,6.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003400,Merton 003A,183a45e0-054a-4b8e-96e0-469eb32c1667,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,31.0,30.0,29.0,29.0,25.0,21.0,19.0,17.0,17.0,18.0,17.0,16.0,11.0,9.0,7.0,6.0,7.0,7.0,6.0,6.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5
E01003401,Merton 004A,1ab79f42-c06b-4f7d-b894-7c9bf1a48636,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,33.0,36.0,32.0,33.0,33.0,31.0,29.0,27.0,23.0,22.0,21.0,18.0,18.0,16.0,11.0,8.0,7.0,7.0,5.0,6.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,60.0,60.0,59.0,58.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
E01003402,Merton 004B,e74a6bcd-e530-41ab-a184-8d5ed59e6463,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,52.0,49.0,45.0,44.0,41.0,39.0,34.0,30.0,28.0,29.0,24.0,24.0,20.0,22.0,22.0,16.0,15.0,12.0,11.0,12.0,14.0,589.0,591.0,595.0,607.0,492.0,434.0,428.0,291.0,192.0,134.0,46.0,46.0,37.0,15.0,15.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0
E01003403,Merton 004C,aafde3d5-1abe-494a-8fd1-376930a9de83,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,62.0,67.0,63.0,60.0,53.0,43.0,41.0,40.0,41.0,39.0,38.0,35.0,34.0,29.0,32.0,25.0,26.0,25.0,24.0,19.0,19.0,17.0,15.0,14.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,10.0,9.0,10.0,9.0,7.0,5.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
E01003404,Merton 004D,8d290408-8f70-458a-913f-5a834590f8c9,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,28.0,33.0,34.0,32.0,26.0,23.0,19.0,19.0,17.0,15.0,13.0,12.0,9.0,6.0,7.0,6.0,6.0,5.0,5.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003405,Merton 018E,c29b4123-82e0-46e7-915e-ee32a697d6c0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,38.0,32.0,33.0,30.0,28.0,21.0,19.0,19.0,19.0,17.0,16.0,16.0,15.0,11.0,8.0,8.0,6.0,6.0,5.0,5.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003406,Merton 008D,65779d80-5a8f-4121-a5e2-126937d1607d,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,28.0,30.0,27.0,24.0,19.0,16.0,13.0,11.0,12.0,11.0,9.0,7.0,5.0,2.5,2.5,2.5,2.5,5.0,5.0,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0
E01003407,Merton 008E,22cc8291-2273-45c5-9fdb-7cd5ad540bb7,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,27.0,22.0,21.0,22.0,20.0,21.0,22.0,24.0,21.0,18.0,19.0,16.0,11.0,11.0,11.0,11.0,9.0,9.0,9.0,8.0,9.0,9.0,7.0,6.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003408,Merton 012D,adb281c2-33a1-4cf7-bbed-4d84667aabec,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,21.0,15.0,11.0,11.0,10.0,10.0,11.0,11.0,10.0,7.0,6.0,7.0,8.0,6.0,5.0,2.5,2.5,2.5,2.5,2.5,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003409,Merton 013E,219ea7c2-1eef-4b3f-be7e-2ce82514b91e,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,33.0,31.0,26.0,23.0,18.0,16.0,14.0,14.0,15.0,11.0,9.0,8.0,11.0,10.0,10.0,10.0,8.0,7.0,6.0,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003410,Merton 012E,97c4ef4b-e9bf-44da-89d1-b1350241f32b,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,13.0,12.0,9.0,9.0,6.0,2.5,5.0,6.0,6.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003411,Merton 014C,2af4087a-9ae6-4a32-8fda-3464eec23bb7,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,19.0,19.0,19.0,20.0,19.0,16.0,14.0,15.0,14.0,14.0,11.0,8.0,6.0,8.0,10.0,9.0,9.0,8.0,6.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003412,Merton 014D,b03d3d62-1d34-4256-960c-4e57d5734726,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,25.0,26.0,24.0,22.0,21.0,16.0,15.0,11.0,11.0,11.0,11.0,10.0,12.0,9.0,10.0,7.0,6.0,6.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01003413,Merton 017A,412ea78f-08f7-4176-a5f7-3d2a2bb95946,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,32.0,29.0,33.0,32.0,25.0,25.0,22.0,22.0,15.0,14.0,8.0,7.0,8.0,8.0,8.0,10.0,8.0,8.0,6.0,5.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5
